City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
648,Provost,CA,52.3501,-110.2683,60.66,60,1,6.08,clear sky
649,Lerwick,GB,60.1545,-1.1494,55.4,94,45,15.37,scattered clouds
650,Altay,CN,47.8667,88.1167,38.39,24,0,4.25,clear sky
651,Ust-Kuyga,RU,70.0167,135.6,23.65,78,100,6.08,overcast clouds
652,Verkhnetulomskiy,RU,68.6073,31.7962,41.13,97,100,3.51,overcast clouds
653,Baherden,TM,38.4362,57.4316,55.8,23,1,7.31,clear sky
654,Terrell,US,32.736,-96.2753,70.92,47,0,0.0,clear sky
655,Yichun,CN,47.7,128.9,35.6,99,100,5.44,overcast clouds
656,Geraldton,AU,-28.7667,114.6,72.01,46,1,11.5,clear sky
657,Ardakan,IR,32.31,54.0175,67.01,31,6,3.11,clear sky
658,Sarakhs,IR,36.5449,61.1577,55.08,30,0,2.77,clear sky
659,Plaster Rock,CA,46.9065,-67.39,36.12,76,5,2.75,clear sky
660,North Bend,US,43.4065,-124.2243,59.92,93,100,3.44,overcast clouds
661,Chuguyevka,RU,44.1653,133.8633,61.59,77,100,3.85,overcast clouds
662,Yulara,AU,-25.2406,130.9889,80.44,34,40,19.57,scattered clouds
663,King City,US,36.2127,-121.126,73.9,60,0,8.3,clear sky
664,Kununurra,AU,-15.7667,128.7333,91.38,40,0,10.36,clear sky
665,Celestun,MX,20.8667,-90.4,78.37,75,82,8.39,broken clouds
666,Kenai,US,60.5544,-151.2583,48.29,96,100,6.91,light rain
667,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.96,77,9,8.52,clear sky
668,Pudozh,RU,61.8099,36.5345,41.61,83,100,5.17,overcast clouds
669,Mitsamiouli,KM,-11.3847,43.2844,73.13,77,3,4.83,clear sky
670,Vitim,RU,59.4511,112.5578,32.31,82,100,6.96,light snow
671,Mormugao,IN,15.4,73.8,76.8,88,59,8.5,broken clouds
672,Marihatag,PH,8.7936,126.2969,82.44,78,92,3.83,moderate rain
673,Santa Margherita Ligure,IT,44.3346,9.212,67.03,84,0,1.99,clear sky
674,Mizdah,LY,31.4451,12.9801,62.62,70,0,4.14,clear sky
675,Isangel,VU,-19.55,169.2667,82.51,83,75,2.3,broken clouds
676,Malakal,SS,9.5334,31.6605,73.72,78,7,3.36,clear sky
677,Odweyne,SO,9.4092,45.064,72.27,56,39,7.18,scattered clouds
678,Ballitoville,ZA,-29.539,31.2144,69.24,88,100,4.61,mist
679,Maniitsoq,GL,65.4167,-52.9,35.35,59,71,3.18,broken clouds
680,Dharchula,IN,29.85,80.5333,70.72,56,4,4.52,clear sky
681,Soyo,AO,-6.1349,12.3689,75.34,87,44,5.39,scattered clouds
682,Gao,ML,16.6362,1.637,90.07,35,18,10.85,few clouds
683,Acarau,BR,-2.8856,-40.12,77.65,79,6,16.62,clear sky
684,Hami,CN,42.8,93.45,49.14,14,0,3.49,clear sky
685,Jian,CN,27.1172,114.9793,93.42,41,0,7.94,clear sky
686,Touros,BR,-5.1989,-35.4608,75.99,75,9,13.22,clear sky
687,Pahrump,US,36.2083,-115.9839,84.25,25,0,5.61,clear sky
